dataset,strategy,rouge1,rouge2,rougeL,rougeLsum,summac,factcc,nli_support,delta_rougeL_vs_top1,delta_summac_vs_top1,delta_factcc_vs_top1,delta_nli_support_vs_top1,changed_from_top1_rate,mean_selected_candidate_idx,agreement_gate_pass_rate
xsum,top1,0.4657626943913431,0.22969192204310618,0.3843199504860485,0.3836385457255463,0.22470742493867873,0.2219157674202385,0.08629414555898014,0.0,0.0,0.0,0.0,0.0,0,
xsum,single_metric_summac,0.4587536189666175,0.22554931521476704,0.3790887458954074,0.3789366738392535,0.22714804167548816,0.22253841296331303,0.0851269053913226,-0.005231204590641081,0.0024406167368094256,0.0006226455430745348,-0.0011672401676575406,0.33666666666666667,0.7866666666666666,
xsum,single_metric_factcc,0.46102776303255266,0.22435442514915718,0.3793604577169005,0.37897302471881633,0.22438048948844275,0.3406666150913194,0.08568829062423902,-0.004959492769147977,-0.0003269354502359878,0.1187508476710809,-0.0006058549347411207,0.7833333333333333,2.006666666666667,
xsum,single_metric_nli_support,0.46088925572676254,0.22929789927800734,0.38151298488635293,0.3816471460905572,0.2245164296030998,0.2318646924248939,0.13243537410792972,-0.0028069655996955656,-0.00019099533557892512,0.009948925004655412,0.04614122854894957,0.8233333333333334,2.0633333333333335,
xsum,weighted_sum,0.46173470137263734,0.22987892194096782,0.38184959846097877,0.3821469026193879,0.2256715920070807,0.2911640494631562,0.11612818101197869,-0.002470352025069733,0.0009641670684019665,0.06924828204291772,0.02983403545299855,0.8033333333333333,2.0533333333333332,
xsum,agreement_gated,0.4596519230240416,0.2270055239420787,0.380074176069503,0.3802261889341998,0.2255828182399273,0.28725286312040527,0.11054177573057435,-0.0042457744165455,0.000875393301248556,0.06533709570016677,0.024247630171594203,0.7,1.7533333333333334,0.5966666666666667
cnn_dailymail,top1,0.37029121740188853,0.17176431584054536,0.2806699119293399,0.3228710764438898,0.2632651163637638,0.4937445608251892,0.7579384978992554,0.0,0.0,0.0,0.0,0.0,0,
cnn_dailymail,single_metric_summac,0.3654552817119532,0.166331665959227,0.2774743007634086,0.3176883261679295,0.2937716943025589,0.47474665586081455,0.7620562517619692,-0.003195611165931256,0.030506577938795076,-0.018997904964374646,0.004117753862713847,0.78,1.9233333333333333,
cnn_dailymail,single_metric_factcc,0.3657470967621599,0.16869146657756584,0.2790046124286166,0.31932994340181786,0.26665668403108916,0.655164220821495,0.7636716851093418,-0.0016652995007232496,0.003391567667325346,0.16141965999630575,0.005733187210086421,0.78,2.046666666666667,
cnn_dailymail,single_metric_nli_support,0.3691224103962846,0.16873801345869188,0.27839102521907033,0.32073054128210965,0.2749226826926072,0.5031037136255843,0.8331442182976753,-0.0022788867102695454,0.011657566328843405,0.009359152800395065,0.07520572039841988,0.8333333333333334,2.066666666666667,
cnn_dailymail,weighted_sum,0.36456629668750534,0.16530857936590143,0.27781607472082637,0.3174254139614482,0.28621417582035064,0.5942515633931998,0.8144047251576558,-0.00285383720851351,0.022949059456586818,0.10050700256801065,0.05646622725840045,0.8366666666666667,2.21,
cnn_dailymail,agreement_gated,0.36513270841068474,0.16556396691724454,0.2777620362447475,0.31778246756921086,0.285150650391976,0.5820393307316135,0.8099386831567001,-0.002907875684592387,0.021885534028212195,0.08829476990642432,0.052000185257444764,0.8166666666666667,2.11,0.5866666666666667
